image_id,path,sha256,width,height,format,mode,file_size_bytes,blur_variance,mean_luma,dark_pixel_fraction,bright_pixel_fraction,noise_score,bytes_per_pixel,annotation_count,invalid_crop_count,regions,flags
19316,data/data_subset/subset_50_extracted/subset_50/19316.png,26d6e2ef655e4f1881e104504ddc28b5c29af3d089dd56d9e3b1367006d765d9,1024,1024,PNG,RGB,987056,23.363831,105.461937,0.134465,1.4e-05,1.390011,0.94133,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,blur
20337,data/data_subset/subset_50_extracted/subset_50/20337.png,0e8b03f2a32ee0fc65028479bab1c60fcf6de0c4aa653b8a96d11582992d6eaf,1024,1024,PNG,RGB,1607335,330.764954,98.660522,0.144146,0.001138,4.713604,1.532874,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
22460,data/data_subset/subset_50_extracted/subset_50/22460.png,b30d71bd1c745e904b7c55d2fb8e1253a6cc86c106a54a96646ed4e1a0889e0e,1024,1024,PNG,RGB,1372563,82.895134,115.851311,0.000117,0.019651,2.717423,1.308978,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|surcos_nasogenianos,
28553,data/data_subset/subset_50_extracted/subset_50/28553.png,2385620ef28df3f81ebb286fe75755517394a77ad3c53a0c6bf1406eac9865ef,1024,1024,PNG,RGB,1417153,116.939484,165.494324,0.000766,0.001587,2.687591,1.351502,13,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
29358,data/data_subset/subset_50_extracted/subset_50/29358.png,a51384be9da8eeb1255db719264e8051d4facc4e4261dd25433be60b651a92fb,1024,1024,PNG,RGB,1512550,203.637741,80.87764,0.233402,0.000627,4.038171,1.44248,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
31147,data/data_subset/subset_50_extracted/subset_50/31147.png,65eb6d5169faf8a484d4e96277aa62738d1229301c6f8cf09e31ce828a6be14d,1024,1024,PNG,RGB,1243631,59.080982,84.997643,0.264666,0.008569,2.196595,1.186019,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
32892,data/data_subset/subset_50_extracted/subset_50/32892.png,89f9f5ed327611a66559dd02773b6a2c6e8d4abc1dc2f22afea755427de83bfd,1024,1024,PNG,RGB,1378244,135.827072,169.637558,0.000369,0.207444,3.375926,1.314396,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
34768,data/data_subset/subset_50_extracted/subset_50/34768.png,7d1940337ec63bc52e3b2a9d73643149d373c7ef95feee8b248a0bebef19a088,1024,1024,PNG,RGB,1345675,144.075119,130.216766,0.001616,0.000502,3.101244,1.283336,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
36898,data/data_subset/subset_50_extracted/subset_50/36898.png,0e927cbd152c5b9b5db96b99a1fd975fd99dcf3283f2f4d866baae2924bc4dc3,1024,1024,PNG,RGB,1417924,175.088089,107.828659,0.061192,1e-05,3.919141,1.352238,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
37644,data/data_subset/subset_50_extracted/subset_50/37644.png,27a7c8cdf9abb6848753a1a8f1af146fef7737ad28df52626d2a0821ba319fe0,1024,1024,PNG,RGB,1410182,83.69912,97.057884,0.155293,0.001541,2.483013,1.344854,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
38752,data/data_subset/subset_50_extracted/subset_50/38752.png,41790926e55c37357153d25e45c9dc0f0cf4e83ccfc3db8f7ee4f5ca8dbdbbe1,1024,1024,PNG,RGB,1316707,76.181671,134.642532,0.003141,3.5e-05,2.378712,1.25571,8,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|surcos_nasogenianos,
39227,data/data_subset/subset_50_extracted/subset_50/39227.png,6bec2adb3415f6c821e48f80084235f8b99a83d3d6fa095864fca93c86b6bfdc,1024,1024,PNG,RGB,1796612,990.074524,98.618866,0.025803,0.00729,8.786901,1.713383,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
42661,data/data_subset/subset_50_extracted/subset_50/42661.png,6ccb692320c76e289ffb9631697f0a1b75ac13b9ea9dc98a5dcaf4341ddfb552,1024,1024,PNG,RGB,1344029,63.973068,109.517113,0.007482,0.004276,2.318604,1.281766,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
42700,data/data_subset/subset_50_extracted/subset_50/42700.png,f5fc35e7e2c27b008b1a71f1cab48d34d19b5ecf984d78d99cb217fc65c099f2,1024,1024,PNG,RGB,1253352,103.94812,104.026367,0.107567,0.000156,3.066298,1.19529,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
43364,data/data_subset/subset_50_extracted/subset_50/43364.png,32411a29e28fd74eaa314d5b5178d77ca01698e856b6d01120125de28d489662,1024,1024,PNG,RGB,1104176,64.038673,63.059452,0.371875,5.7e-05,2.334672,1.053024,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
44749,data/data_subset/subset_50_extracted/subset_50/44749.png,50b8d232115fd630a84e534e1a9f136d2402be6d167021b70a0bf04ac14f63b6,1024,1024,PNG,RGB,1300103,71.991318,113.526306,0.006065,0.056881,2.53387,1.239875,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|surcos_nasogenianos,
46825,data/data_subset/subset_50_extracted/subset_50/46825.png,5cba541f15ffd1cc4d249732ac8259376290eadf28a39303f9c39c805ca38d54,1024,1024,PNG,RGB,1426706,199.877121,124.174301,0.017282,0.014043,4.023021,1.360613,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
46840,data/data_subset/subset_50_extracted/subset_50/46840.png,ea3862cf461902bba8e46d91aeef47b414067371c4fad1c4d97b5d7547a3e6a6,1024,1024,PNG,RGB,1553848,230.148499,105.210846,0.121481,0.015018,4.502051,1.481865,10,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
48697,data/data_subset/subset_50_extracted/subset_50/48697.png,5ea0e4d7495b7d8973d2b83fed7c7f23d75e8e9f1ef877ac9cbf732da8ad688b,1024,1024,PNG,RGB,1613759,161.835327,85.751709,0.00378,0.001651,3.399569,1.539001,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
50374,data/data_subset/subset_50_extracted/subset_50/50374.png,c8a2bee7f1dcc3a498e5143a4dceb585e50804ba23f7d3cf25ee73e2a455f6f7,1024,1024,PNG,RGB,1312512,115.006645,106.429375,0.022446,3.6e-05,3.156031,1.251709,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|surcos_nasogenianos,
50987,data/data_subset/subset_50_extracted/subset_50/50987.png,53a8679f4245fc73707363cb07d154fbf4c40533ef664779455066273e6550ef,1024,1024,PNG,RGB,1442824,130.872147,102.340271,0.000865,2.3e-05,3.100427,1.375984,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
51936,data/data_subset/subset_50_extracted/subset_50/51936.png,54459f42d16663020cbbe49ed691f6b43a5481e1db33dca9379bb915000ab3ef,1024,1024,PNG,RGB,1480067,189.413055,85.310898,0.333753,0.042164,3.897545,1.411502,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|puente_nasal|surcos_nasogenianos,
53983,data/data_subset/subset_50_extracted/subset_50/53983.png,22906441c3f8c177c190bc3f3f7839c9e3a7bdf19f2bcbc80c7a1be86a0f7012,1024,1024,PNG,RGB,919455,51.857025,84.903473,0.020713,0.004198,2.121381,0.876861,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
57113,data/data_subset/subset_50_extracted/subset_50/57113.png,068f5ecd486883da8676e710ff5b75cbbf2dde562ff4ced0cf051a4f7daffc28,1024,1024,PNG,RGB,1127065,36.292664,132.566528,0.042639,1.5e-05,1.820746,1.074853,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
58972,data/data_subset/subset_50_extracted/subset_50/58972.png,9df80abd7402eeb98aabb60b61774ab12ca6d8a45582443e404c6e949efcfe1e,1024,1024,PNG,RGB,1158242,49.551868,147.633621,0.082629,0.025573,2.09267,1.104586,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
63944,data/data_subset/subset_50_extracted/subset_50/63944.png,90a95a412143b344786a3f540049b74d93cb3624b57f9d1028e9dc384c5073ca,1024,1024,PNG,RGB,1493394,75.047516,119.557274,0.100814,0.020025,2.440619,1.424212,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|patas_de_gallo|puente_nasal|surcos_nasogenianos,
64349,data/data_subset/subset_50_extracted/subset_50/64349.png,2df71d6ae8cdd66ac395ff00006b07c569124897cc7ff72bbe17894064db99fb,1024,1024,PNG,RGB,1292295,87.046753,78.840714,0.084654,2.1e-05,2.402986,1.232429,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|puente_nasal|surcos_nasogenianos,
64799,data/data_subset/subset_50_extracted/subset_50/64799.png,61e00b11be465ddb4a90528c16966dbdfb58f4a66c09e4295ad4e75da32ac7ca,1024,1024,PNG,RGB,1163097,75.684341,99.911331,0.153049,0.10204,2.617355,1.109216,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
64915,data/data_subset/subset_50_extracted/subset_50/64915.png,6ea468780a69aafe7495240c34c892ea3e2ff3be9b939924a53a6fe8607d5871,1024,1024,PNG,RGB,1262757,64.105042,90.842712,0.163302,0.050757,2.304058,1.204259,12,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
65409,data/data_subset/subset_50_extracted/subset_50/65409.png,b925b273cbb0192a4fd2994897ae1366035c0e0703f7b7592dbf9da407110b39,1024,1024,PNG,RGB,1518075,113.755386,104.215317,9e-06,0.000199,3.092801,1.447749,9,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|glabela_entrecejo|labio_superior|puente_nasal|surcos_nasogenianos,
66574,data/data_subset/subset_50_extracted/subset_50/66574.png,a00abc3f643e0d8e36da6163a82ded8f21f73d3ae0808ea307dfadf01b0c67de,1024,1024,PNG,RGB,1470106,88.164558,129.612686,0.023305,0.000253,2.511432,1.402002,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|frente|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
69963,data/data_subset/subset_50_extracted/subset_50/69963.png,d785c74917bcadc644de1e7a339305a628061f113f97e3649aba41db45e229ea,1024,1024,PNG,RGB,1410393,90.966568,100.595543,0.143994,0.002161,2.934917,1.345056,11,0,bajo_ojo_ojeras|comisuras_lineas_marioneta|glabela_entrecejo|labio_superior|patas_de_gallo|puente_nasal|surcos_nasogenianos,
